"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
0.52,0.71,1.42,1.74,2.26,3.34,1003.77,37.42,64.91,79.52,0.14,0.2,1.38,18.92,27.35,29.6,1,NA,3.79,50.76,114.01,1.41,1.72,2.55,1.34,2.05,3.41,660.68,27.71,34.1,54.68,0.13,0.15,1.22,19.07,18.15,49.87,1.07,17381.01,3.39,31.96,74.95,-17.85,-23.39,-64.71,0.01,0.3,1.16,1319.56,39.76,73.2,120.94,0.17,0.22,1.31,2.6,23.67,-81.99,0.89,6704.86,6.95,74.14,200.73
4.95,23.24,5.75,-0.02,0.26,0.26,422.51,83.47,304.71,0.5,0.79,3.69,4.69,18.1,78.69,20.69,0.33,16730.44,2.97,15.26,33.31,0.45,2.54,0.56,0.09,0.34,0.35,463.17,78.56,318.27,5.39,0.82,4.7,5.7,14.51,82.47,11.72,0.4,12753.33,11.62,17.85,52.71,0.53,2.86,0.69,0.03,0.35,0.36,474.42,98.66,311.17,2.82,0.81,4.37,5.38,16.71,81.42,13.48,0.44,10839.55,0.07,21.09,56.42
13.25,33.71,12.23,0.02,0.59,0.72,335.97,28.34,33.25,6.48,0.61,1.54,2.54,74.71,60.69,34.87,0.93,17170.8,45.5,56.73,71.61,7.33,16.19,7.64,0.02,0.63,0.76,380.45,28.59,23.88,6.41,0.55,1.21,2.21,62.08,54.69,27.89,0.95,15293.07,46.01,57.06,74.14,1.24,2.54,1.11,0.03,0.79,0.87,326.69,34.21,28.1,3.73,0.51,1.06,2.06,77.61,51.36,16.82,0.95,15903.6,39.97,68.55,87.15
9.53,37.91,6.21,4.8,5.53,5.53,237.08,7.13,9.77,NA,0.75,2.98,3.98,9.53,74.86,27.42,1.24,NA,0,0,0,35.65,70.76,32.41,2.59,2.79,2.79,331.83,12.35,61.39,NA,0.5,0.98,1.99,35.65,49.62,99.2,1.71,NA,0,0,0,8.58,11.76,7.44,12.47,14.81,14.81,315.78,15.91,6.79,NA,0.27,0.37,1.37,8.58,27.04,127.73,1.44,NA,0,0,0
14.69,29.15,7.04,0.66,1.78,1.83,174.48,81.37,51.15,4.28,0.5,0.98,1.98,77.87,49.62,38.2,2.3,NA,17.09,30.28,71.72,6.35,21.7,2.35,0.35,1.27,1.31,134.86,61.09,47.92,2.51,0.71,2.42,3.42,89.25,70.75,15.4,1.15,10217.67,30.42,30.63,84.44,17.26,40.98,6.09,0.5,1.34,1.39,128.32,45.8,47.11,3.04,0.58,1.37,2.37,101.53,57.87,35.09,1.27,9772.75,16.67,29.7,72.4
2.77,34.46,2.03,0.01,0.66,0.71,266.52,104.43,138.14,9.36,0.85,10.58,12.46,28.28,91.97,11.94,0.54,18425.53,24.09,18.68,70.96,4.28,37.09,3.01,0.05,0.69,0.72,257.12,106.83,146.73,5.43,0.84,7.25,8.67,30.42,88.47,14.56,0.54,22891.33,18.05,18.42,64.78,4.17,28.88,2.73,0,0.62,0.65,238.38,95.02,100.42,5.2,0.82,5.72,6.93,30.77,85.58,14.39,0.46,24347,29.66,17.42,69.68
0.51,0.64,0.33,0.85,3.75,7.29,233.17,75.5,26.07,93.55,0.19,0.24,1.24,17.9,19.11,55.74,5.39,NA,6.83,11.13,53.95,-0.03,-0.03,-0.02,4.34,5.99,12.58,228.29,25.74,15.57,103.89,0.08,0.09,1.09,19.91,8.41,81.6,7.73,8223.33,0,12.47,63.77,0.58,0.63,0.36,2.5,6.04,12.09,229.07,54.25,15.3,93.78,0.08,0.09,1.09,18.84,8.07,53.54,5.12,5973.13,0,11.49,90.71
0.14,0.98,0.08,0.01,0.43,0.87,217.4,45.73,81.87,49.77,0.78,5.67,7.23,24.66,86.16,19.21,0.73,26262.47,20.58,14.65,64.63,0.23,1.57,0.13,0.01,0.47,0.85,196,52.71,85.06,45.32,0.79,5.29,6.72,27.76,85.11,20.85,0.68,30159.31,20.6,14.78,59,0.74,7.44,0.51,0.01,0.44,0.84,250.97,49.25,79.74,44.81,0.87,8.76,10.04,20.22,90.04,14.3,0.83,20763.33,48.86,13.43,73.46
2.97,42.09,1.23,0.13,0.59,1.02,151.37,62.46,137.58,61.13,0.93,13.18,14.18,18.17,92.95,4.68,1.22,25135.5,0,6.32,65.31,1.17,10.68,0.31,0.12,0.57,1.08,95.69,36.91,83.2,43.43,0.89,8.12,9.12,23.19,89.03,4.24,2.38,18300.5,0,5.77,93.53,0.1,1.7,0.04,0.06,0.72,1.05,142.72,87.87,100.84,43.93,0.94,16.43,17.43,12.53,94.26,1.09,3.97,17751.4,22.53,4.88,84.71
0.74,2.58,0.16,0.52,0.92,1.31,77.46,16.08,39.85,15.66,0.71,2.49,3.49,1.89,71.37,3.66,1.51,NA,0,0.24,18.39,-3.09,-23.88,-0.9,0.25,0.61,1.08,106.68,30.71,86.13,40.96,0.87,6.72,7.72,-1.04,87.05,3.68,1.58,NA,0,0.6,18.17,-0.21,-2.1,-0.11,0.14,0.75,1.14,178.04,90.37,148.28,57.73,0.9,8.78,9.78,6.6,89.78,5.41,3.79,NA,-0.11,3.33,239.1
-144.16,-2544.14,-70.25,0.1,0.2,0.2,177.37,17.45,164.52,NA,0.94,16.65,17.65,-72.96,94.33,-128.22,0.07,NA,0,34.69,-202.95,-44.99,108.3,-12.75,0.06,0.49,0.49,103.41,60.65,143.23,NA,1.42,-3.41,-2.41,19.6,141.54,-18.67,-1.36,NA,0,18.3,155.24,16.01,697.93,6.33,0.32,0.96,0.96,143.84,88.85,138.91,0.04,0.98,42.6,43.6,24.11,97.71,20.09,0.37,13420,0,3.2,26.69
0.88,12.97,1.03,0.47,0.69,1.21,429.29,28.95,110.02,69.92,0.65,9.67,14.82,27.65,93.25,16.66,0.65,NA,5.43,31.57,69.58,2.72,26.73,2.59,0.5,0.71,1.3,346.85,21.33,77.13,59.91,0.62,6.09,9.81,34.95,89.81,19.67,0.69,17531.75,6.69,30.62,70.68,0.42,4.23,0.42,0.31,0.76,1.07,365.68,62.61,97.2,43.59,0.67,6.7,10,31.8,90,12.3,0.66,16690.32,14.38,31.52,76.98
71.19,87.34,19.59,1.95,3.39,4.02,100.15,25.49,17.64,11.22,0.18,0.23,1.23,185.61,18.49,445.3,3.12,NA,0,31.48,52.09,69.31,89.03,18.56,2.74,3.75,3.97,97.74,21.15,20.96,4.67,0.22,0.28,1.28,183.6,22.14,356.85,6.52,46087.75,0,30.6,53,49.45,87.38,13.41,1.15,2.07,2.17,98.74,38.72,42.05,4.34,0.43,0.77,1.77,151.31,43.41,125.91,11.84,45083,0,27.63,57.75
19.54,26.55,11.04,0.22,2.5,2.93,205.7,62.71,31.49,17.91,0.26,0.36,1.36,43.11,26.4,91.48,1.93,NA,10.31,13.32,43.39,16.45,22.72,9.34,0.2,2.51,3.12,207.35,59.83,32.01,24.09,0.28,0.38,1.38,43.29,27.6,77.15,2.03,NA,3.34,15.25,49.18,10.98,16.52,5.04,0.04,1.9,2.34,167.05,65.11,25.78,19.16,0.34,0.5,1.5,47.57,33.54,54.91,1.94,13640.92,10.6,12.21,42.5
-3.57,-4.26,-1.7,1.72,3.1,3.82,173.69,29.11,21.15,15.39,0.16,0.19,1.19,41.53,16.25,113.61,1.64,NA,0,21.52,75.15,-2.88,-3.86,-1.52,0.84,1.89,2.35,192.83,43.74,41.29,19.01,0.26,0.34,1.34,42.89,25.52,67.47,1.57,9326,0,24.18,71.2,0.63,1.15,0.36,0.38,1.36,1.53,209.86,42.98,43.77,7.76,0.45,0.81,1.81,43.25,44.84,33.12,1.19,9635.42,16.2,24.57,75.23
7.95,9.51,21.63,-34,-34,-34,989.93,0,-19.71,0,0.16,0.2,1.2,7.95,16.38,153.6,3.23,NA,0,0,0,19.25,26.6,21.41,11.33,11.33,11.33,405.91,NA,22.57,NA,0.28,0.38,1.38,19.25,27.64,226.54,2.61,NA,0,0,0,25.44,27.86,31.84,8.76,11.51,11.51,455.5,107.46,39.15,NA,0.09,0.1,1.1,25.44,8.69,679.18,NA,NA,0,0,0
-0.82,3.47,NA,0.01,0.48,0.48,NA,NA,NA,NA,1.24,-5.25,-4.25,-0.31,123.54,-0.66,-0.57,NA,0,NA,-5914.29,22.92,-5829.5,NA,0,0.59,0.59,NA,NA,NA,NA,1,-255.32,-254.32,22.92,100.39,22.83,-0.01,NA,0,NA,0,-11.93,98.28,-7.41,0.25,1.1,1.1,225.93,146.73,171.93,NA,1.12,-9.23,-8.23,145.87,112.14,-5.96,-0.79,2550.4,0,97.95,116.02
8.81,14.28,2.17,2.09,2.61,2.61,28.62,17.63,34.01,0,0.38,0.62,1.62,8.81,38.29,23.01,NA,NA,0,0,0,3.64,21.53,0.82,0.35,1.2,1.2,81.87,57.05,67.09,NA,0.83,4.91,5.91,3.64,83.08,4.38,NA,NA,0,0,0,5.04,24.84,1.75,1.04,1.25,1.25,126.49,21.79,99.7,NA,0.8,3.93,4.93,8.07,79.71,6.32,NA,NA,0,1.05,27.43
