"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
2.72,-8.97,1.18,0.42,0.42,0.78,158.65,NA,198.4,72.87,1.29,-4.27,-3.3,67.18,130.27,2.1,NA,11218,0,28.02,88.98,13.74,-64.43,4.63,0.4,0.4,0.84,122.77,NA,142.13,63.48,1.21,-5.66,-4.69,95.6,121.32,11.39,NA,12512.5,0,27.61,87.48,5.17,868.15,1.84,0.46,0.46,1.03,129.94,NA,123.12,70.01,0.99,166.97,167.97,85.89,99.4,5.2,NA,NA,0,20.8,61.14
1.03,12.95,0.29,0.29,0.74,1.09,103.48,41.74,74.41,33.01,0.92,11.61,12.61,34.42,92.07,1.12,NA,10016.5,19.13,9.47,85.81,-7.02,625.83,-2.65,0.23,0.52,0.77,137.1,39.64,100.61,34.84,1.01,-90.11,-89.11,11.44,101.12,-3.28,-0.05,6258.25,26.9,6.96,105.11,-11.47,93.69,-4.77,0.22,0.62,0.79,151.28,67.6,151.72,27.45,1.12,-9.17,-8.17,5.51,112.25,-6.33,-1.03,NA,10.78,5.07,119.28
-3.7,-122.72,-3.53,0.05,0.11,0.45,143.06,20.25,243.45,113.88,0.97,32.17,33.17,7.93,96.99,-0.34,0.07,1778.25,24.64,11.09,121.72,11.4,72.8,4.08,0.15,0.16,0.36,130.4,1.83,73.16,20.97,0.84,5.38,6.38,35.22,84.34,20.52,0.24,8148,25.15,8.53,51.33,20.96,82.78,10.17,0.37,0.39,0.56,176.61,2.67,104.04,21.69,0.75,2.95,3.95,23.81,74.68,33.86,0.45,NA,13.97,1.38,8.13
2.07,6.24,10.41,6.31,7.2,7.2,1839.59,99.1,110.62,NA,0.67,2.02,3.02,2.39,66.89,24.9,1.67,240925,0,1.63,1.77,-2.24,-4.45,-25.62,26.73,105.28,105.28,4167.67,96.27,33.19,NA,0.5,0.99,1.99,-2.15,49.75,8.22,6.58,305040.5,0,1.06,1.24,1.95,3.14,30.27,-0.89,42.94,42.94,5659.09,222.19,120.27,NA,0.38,0.61,1.61,2.01,38.03,18.54,12.66,NA,0,0.93,1.37
17.75,21.13,7,0.82,3.91,7.03,143.88,57.3,18.55,58.68,0.16,0.19,1.19,44.09,15.97,123.64,12.66,65071,0,10.38,51.09,7.84,9.53,4.05,1.49,3.68,6.05,188.11,62.94,28.72,69.1,0.18,0.21,1.21,32.1,17.66,55.58,13.46,47243.63,0,12.53,63.94,8.05,9.03,3.73,2.4,6.53,11.39,168.39,57.86,14.03,68.22,0.11,0.12,1.12,34.04,10.8,97.25,24.5,NA,0,8.9,46.78
23.37,40.34,13.49,1.63,2.34,2.38,210.73,61.73,87.44,3.63,0.42,0.73,1.73,23.37,42.07,55.55,NA,NA,0,0,0,18.76,29.98,11,1.71,2.61,2.67,213.43,70.66,78.96,5.16,0.37,0.6,1.6,18.76,37.41,50.16,NA,NA,0,0,0,8.1,11.09,13.16,3.38,3.62,3.71,591.54,38.79,157.59,14.23,0.27,0.37,1.37,8.1,26.94,30.07,NA,NA,0,0,0
303.27,-316.71,27.92,0.02,0.16,0.48,33.6,9.03,62.42,19.95,1.96,-2.04,-1.04,405.91,195.76,170.94,-10.13,11931.86,0,9.45,22.9,45.69,8518.87,10.97,0.03,0.88,0.98,87.42,33.2,38.88,3.64,0.99,185.46,186.46,105.8,99.46,50.58,0.93,6696,0,14.44,50.7,4.24,88.67,1.02,0.02,1.09,1.36,87.54,39.98,37.45,10.24,0.95,19.89,20.89,74.93,95.21,20.89,1.24,NA,0,17,71.84
-2.2,-4.43,-1.4,0.95,3.36,3.36,233.07,137.57,57,NA,0.5,1.01,2.01,38.25,50.36,22.28,5.23,6195.5,25.55,25.83,75.72,10.25,18.32,7.06,0.7,7.87,7.87,250.63,198.7,27.73,NA,0.43,0.77,1.79,45.79,44.06,32.42,7.79,6219.5,13.88,24.47,63.22,-19.71,-22.35,-18.51,4.77,8.86,8.86,341.88,133.3,32.6,NA,0.12,0.13,1.13,6.49,11.8,-105.47,6.22,NA,1.87,24.61,175.32
35.12,53.76,22.26,1.61,2.29,2.87,231.36,54.06,79.13,46.41,0.35,0.53,1.53,69.07,34.68,101.28,NA,11649,0,21.52,47.35,22.21,28.61,17.88,2.06,3.55,4.47,293.1,96.51,61.45,60.57,0.22,0.29,1.29,59.7,22.38,99.21,NA,6418,1.18,30.19,55.95,15.33,19.37,13.64,2.77,4,4.79,323.98,82.59,66.88,52.89,0.21,0.26,1.26,58.01,20.87,73.44,NA,NA,0,37.99,67.69
0.14,0.75,0.03,0.33,0.83,1,82.18,29.1,48.3,10.34,0.81,4.35,5.37,6.42,81.39,0.17,0.99,5128,13.11,1.41,132.2,0.36,2.91,0.07,0.47,0.69,0.97,72,13.49,51.4,16.96,0.88,7.14,8.14,13.97,87.71,0.41,0.87,4623.67,15.52,2.69,170.8,0.13,1.09,0.04,0.67,0.86,1.07,111.39,14.78,67.8,16.67,0.88,7.47,8.47,13.27,88.2,0.15,1.2,NA,17.56,4.02,70.21
9.29,37.28,17.08,0,0.14,0.15,670.57,62.92,381.65,2.44,0.75,3.01,4.01,14.82,75.07,41.73,0.29,NA,8.42,10.16,14.9,6.16,18.81,9.93,0,0.21,0.21,586.88,58.78,232.42,0.6,0.67,2.05,3.05,14.02,67.25,49.84,0.4,NA,8.6,12.67,18.82,-1.19,-207.54,NA,0.01,0.13,0.13,507.07,49.42,428.99,0,0.99,173.35,174.35,7.73,99.43,30.86,0.05,NA,0,9.11,16.05
12.92,56.65,3.19,0.28,0.29,1.34,90.06,0.39,66.43,70.77,0.75,3.29,4.39,112.46,77.2,17.23,NA,10972,0,24.56,85.05,27.41,64.7,10.91,0.66,0.67,1.71,144.86,0.04,82.34,87.07,0.57,1.36,2.36,80.27,57.64,47.69,NA,10790.13,0,21.04,61.26,41.54,77.06,6.82,-0.89,-0.06,0.81,59.8,22.54,27.22,23.62,0.46,0.85,1.86,90.8,46.08,96.45,0.86,NA,0,5.74,32.88
